Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
gk01 SAM-0.01,463218,5089903,12043838,23653772,35281859,46897705,
gk01 SAM-0.02,463218,5092327,12059177,23693904,35383395,47113463,
gk01 SAM-0.05,463218,5113768,12097901,23892037,35778881,47610395,
gk01 SAM-0.1,463218,5121272,12169486,24044573,35925950,47924151,
gk01 SAM-0.2,463218,5177484,12293033,24189553,36116201,48166300,
OR10x100-0.25_1 SAM-0.01,2836872,31205045,73830256,145018245,216448557,288212783,
OR10x100-0.25_1 SAM-0.02,2836872,31176234,73779210,145071138,216174187,286840590,
OR10x100-0.25_1 SAM-0.05,2836872,31123728,73635411,144442790,214350962,284811984,
OR10x100-0.25_1 SAM-0.1,2836872,30805648,71709699,140660402,208541345,276564063,
OR10x100-0.25_1 SAM-0.2,2836872,29648279,69427770,133693742,197679341,262428557,
OR10x100-0.25_10 SAM-0.01,2792346,30597142,72337638,142139045,212083075,282343860,
OR10x100-0.25_10 SAM-0.02,2792346,30601316,72414755,141540192,210028903,278086274,
OR10x100-0.25_10 SAM-0.05,2792346,30521318,72262692,141962354,210773095,279012315,
OR10x100-0.25_10 SAM-0.1,2792346,30367806,72304310,142688641,212605264,283125298,
OR10x100-0.25_10 SAM-0.2,2792346,29670793,70580732,138161785,206143020,274538908,
OR10x100-0.25_2 SAM-0.01,2804523,30811398,72747333,142700682,212513729,282280655,
OR10x100-0.25_2 SAM-0.02,2804523,30738014,72400833,141993150,212083754,282357876,
OR10x100-0.25_2 SAM-0.05,2804523,30823488,72659490,143645312,215992394,287394880,
OR10x100-0.25_2 SAM-0.1,2804523,30313656,71092094,139794519,208691237,277146506,
OR10x100-0.25_2 SAM-0.2,2804523,29788523,68801890,134285142,199302243,262975628,
OR10x100-0.25_3 SAM-0.01,2722113,29840722,70494582,138267240,206080209,273773077,
OR10x100-0.25_3 SAM-0.02,2722113,29860510,70574618,138785504,206905562,274763003,
OR10x100-0.25_3 SAM-0.05,2722113,29882674,70327385,137725770,205503940,272879354,
OR10x100-0.25_3 SAM-0.1,2722113,29415814,69558813,135876784,202154549,267683288,
OR10x100-0.25_3 SAM-0.2,2722113,28421912,66454362,131029200,195671089,261222923,
OR10x100-0.25_4 SAM-0.01,2800956,30787540,72665680,142692220,212874852,282987407,
OR10x100-0.25_4 SAM-0.02,2800956,30729277,72816543,142992721,213447961,284721251,
OR10x100-0.25_4 SAM-0.05,2800956,30687713,72043521,141213012,210830625,280285171,
OR10x100-0.25_4 SAM-0.1,2800956,30537204,71650261,141006547,211763536,282705341,
OR10x100-0.25_4 SAM-0.2,2800956,30239475,71969408,143601023,214257367,283005855,
OR10x100-0.25_5 SAM-0.01,2798373,30708800,72501138,142063479,211182360,280168636,
OR10x100-0.25_5 SAM-0.02,2798373,30715142,72536257,141844326,210389317,279358356,
OR10x100-0.25_5 SAM-0.05,2798373,30721819,72571297,142329593,212555203,282792706,
OR10x100-0.25_5 SAM-0.1,2798373,30689021,71990259,141331917,208671464,277727977,
OR10x100-0.25_5 SAM-0.2,2798373,30045986,71467105,139234009,207524205,274590712,
OR10x100-0.25_6 SAM-0.01,2801571,30764803,72736555,142509902,211994034,281400505,
OR10x100-0.25_6 SAM-0.02,2801571,30898822,73333236,144498071,215203316,285437284,
OR10x100-0.25_6 SAM-0.05,2801571,30878353,72857901,143066772,213891590,285357585,
OR10x100-0.25_6 SAM-0.1,2801571,30830360,72870833,143477256,210917006,277254944,
OR10x100-0.25_6 SAM-0.2,2801571,29835899,70304757,136506049,203931504,270966395,
OR10x100-0.25_7 SAM-0.01,2690625,29533506,69570149,136110018,203007434,270291679,
OR10x100-0.25_7 SAM-0.02,2690625,29497510,69751980,136987126,204436146,272419713,
OR10x100-0.25_7 SAM-0.05,2690625,29527356,68948372,133521188,198252252,264376770,
OR10x100-0.25_7 SAM-0.1,2690625,29321555,69221201,135891007,201406052,266443567,
OR10x100-0.25_7 SAM-0.2,2690625,29221065,67802895,130771445,194375901,259690326,
OR10x100-0.25_8 SAM-0.01,2784105,30509519,72224536,141649923,211233396,280594102,
